0,1443513325,1443513324.900,1443513326.654
1,1443513331,1443513331.024,1443513332.686
2,1443513337,1443513337.078,1443513338.718
3,1443513343,1443513343.034,1443513344.653
4,1443513349,1443513349.091,1443513350.688
5,1443513355,1443513355.147,1443513356.721
6,1443513361,1443513361.104,1443513362.656
7,1443513367,1443513367.159,1443513368.690
8,1443513373,1443513373.214,1443513374.724
9,1443513379,1443513379.172,1443513380.660
10,1443513385,1443513385.227,1443513386.693
11,1443513391,1443513391.292,1443513392.735
12,1443513397,1443513397.245,1443513398.667
13,1443513403,1443513403.299,1443513404.699
14,1443513409,1443513409.354,1443513410.732
15,1443513415,1443513415.308,1443513416.665
16,1443513421,1443513421.363,1443513422.697
17,1443513427,1443513427.417,1443513428.729
18,1443513433,1443513433.372,1443513434.662
19,1443513439,1443513439.426,1443513440.694
20,1443513445,1443513445.482,1443513446.728
21,1443513451,1443513451.437,1443513452.661
22,1443513457,1443513457.491,1443513458.693
23,1443513463,1443513463.545,1443513464.726
24,1443513469,1443513469.500,1443513470.659
25,1443513475,1443513475.554,1443513476.691
26,1443513481,1443513481.609,1443513482.724
27,1443513487,1443513487.567,1443513488.660
28,1443513493,1443513493.622,1443513494.694
29,1443513499,1443513499.677,1443513500.727
30,1443513505,1443513505.671,1443513506.700
31,1443513511,1443513511.726,1443513512.732
32,1443513517,1443513517.680,1443513518.664
33,1443513523,1443513523.734,1443513524.696
34,1443513529,1443513529.788,1443513530.728
35,1443513535,1443513535.742,1443513536.661
36,1443513541,1443513541.797,1443513542.693
37,1443513547,1443513547.851,1443513548.726
38,1443513553,1443513553.805,1443513554.659
39,1443513559,1443513559.860,1443513560.691
40,1443513565,1443513565.916,1443513566.726
41,1443513571,1443513571.870,1443513572.658
42,1443513577,1443513577.926,1443513578.691
43,1443513583,1443513583.980,1443513584.724
44,1443513589,1443513589.934,1443513590.656
45,1443513595,1443513595.988,1443513596.688
46,1443513601,1443513602.045,1443513602.723
47,1443513607,1443513607.993,1443513608.656
48,1443513613,1443513614.035,1443513614.689
49,1443513619,1443513620.075,1443513620.722
50,1443513625,1443513626.017,1443513626.655
51,1443513631,1443513632.057,1443513632.687
52,1443513637,1443513638.097,1443513638.719
53,1443513643,1443513644.038,1443513644.652
54,1443513649,1443513650.093,1443513650.700
55,1443513655,1443513656.134,1443513656.732
56,1443513661,1443513662.074,1443513662.664
57,1443513667,1443513668.114,1443513668.696
58,1443513673,1443513674.155,1443513674.729
59,1443513679,1443513680.095,1443513680.661
60,1443513685,1443513686.136,1443513686.693
61,1443513691,1443513692.176,1443513692.726
62,1443513697,1443513698.118,1443513698.660
63,1443513703,1443513704.159,1443513704.692
64,1443513709,1443513710.199,1443513710.725
65,1443513715,1443513716.140,1443513716.657
66,1443513721,1443513722.180,1443513722.689
67,1443513727,1443513728.221,1443513728.721
68,1443513733,1443513734.162,1443513734.655
69,1443513739,1443513740.203,1443513740.688
70,1443513745,1443513746.244,1443513746.720
71,1443513751,1443513752.185,1443513752.654
72,1443513757,1443513758.225,1443513758.686
73,1443513763,1443513764.266,1443513764.719
74,1443513769,1443513770.207,1443513770.652
75,1443513775,1443513776.248,1443513776.684
76,1443513781,1443513782.288,1443513782.717
77,1443513787,1443513788.228,1443513788.649
78,1443513793,1443513794.270,1443513794.682
79,1443513799,1443513800.310,1443513800.715
80,1443513805,1443513806.251,1443513806.647
81,1443513811,1443513812.291,1443513812.679
82,1443513817,1443513818.332,1443513818.711
83,1443513823,1443513824.273,1443513824.645
84,1443513829,1443513830.313,1443513830.677
85,1443513835,1443513836.354,1443513836.709
86,1443513841,1443513842.294,1443513842.642
87,1443513847,1443513848.335,1443513848.675
88,1443513853,1443513854.376,1443513854.708
89,1443513859,1443513860.316,1443513860.640
90,1443513865,1443513866.359,1443513866.674
91,1443513871,1443513872.399,1443513872.706
92,1443513877,1443513878.341,1443513878.641
93,1443513883,1443513884.382,1443513884.673
94,1443513889,1443513890.422,1443513890.706
95,1443513895,1443513896.363,1443513896.638
